RequestId,CustomerName,Source,Destination,Criteria
1,Brendan Jakubowski,FBFA01,2932EF,Hops
2,Blanche Langosh,53B7E0,D8DB71,Time
3,Kristina Fritsch,92B534,1D95A4,Hops
4,Winifred Upton,480873,3C591A,Time
5,Claudia Bednar,3C591A,F4E9DA,Hops
6,Monique Weber,4F44BA,2E740C,Time
7,Felipe Yost,9DA3D4,257E4A,Time
8,Sandra Dach,2C9290,1D95A4,Cost
9,Garry Wiegand,4538EE,9DA3D4,Cost
10,Travis Hyatt,D92C57,180AD5,Hops
11,Dorothy Walter,3293B2,7EFACD,Hops
12,Abraham Altenwerth,257E4A,C21B5F,Hops
13,Tammy Legros,0418F6,6FC77B,Cost
14,Darla Williamson,18636A,673BB3,Hops
15,Christian Schinner,8A570C,8205FC,Cost
16,Jeremiah Schaefer,80979C,1EC537,Time
17,Marsha Becker,D92C57,3AC43F,Time
18,Caleb Gusikowski,DB404E,6FC77B,Hops
19,Tamara Maggio,F00894,18636A,Cost
20,Jessie Gusikowski,480873,09886B,Time
21,Meredith Gorczany,4538EE,1FF016,Cost
22,Guillermo Lehner,D3D3F3,72EF82,Time
23,Elsa Miller,93DADF,AB0902,Cost
24,Salvatore Conroy,3C591A,257E4A,Hops
25,Janet Aufderhar,E9A2F6,F00894,Hops
26,Miriam West,7EFACD,D23504,Cost
27,Raquel Corkery,3AEFBC,64EDE4,Hops
28,Kara Feest,3AC43F,CE33FB,Cost
29,Alexandra Cummings,070834,FDEEA5,Hops
30,Gerald Lemke,5E369E,78151E,Hops
31,Andrew McLaughlin,9DA3D4,FD34B0,Hops
32,Theodore Kirlin,3C591A,7D16FE,Time
33,Jasmine Reinger,DA518F,AB0902,Hops
34,Wesley Bailey,480873,353F87,Cost
35,Bruce Keeling,353F87,CE33FB,Time
36,Mindy Leffler,FBFA01,78151E,Cost
37,Abraham Murray,D51D87,25E677,Cost
38,Leah Paucek,3F74F0,D82DB0,Cost
39,Leon Bosco,AB0902,95AE76,Hops
40,Pam Homenick,6E4320,8A570C,Time
41,Domingo Braun,D8DB71,D82DB0,Cost
42,Marc Runolfsson,1FF016,D3D3F3,Hops
43,Maryann Quigley,069782,AE9247,Time
44,Brad Kuvalis,92B534,6E4320,Hops
45,Lillian Monahan,18636A,4495F0,Hops
46,Evan Ullrich,2D84BC,6FC77B,Hops
47,Florence Ruecker,C21B5F,18636A,Time
48,Arlene Wehner,55EA55,5580D2,Time
49,Mabel Pagac,D51D87,6E4320,Cost
50,Israel Klocko,E9A2F6,3AC43F,Hops
51,Lora Dietrich,D8DB71,D92C57,Hops
52,Vicky Wisozk,5580D2,480873,Hops
53,Anna Hilll,714BCA,898C46,Cost
54,Ramon Wunsch,72EF82,53B7E0,Time
55,Melvin Gleason,4538EE,AB0902,Hops
56,Alfredo Torp,167978,4495F0,Time
57,Roger Hansen,AB0902,7EFACD,Hops
58,Darrell Hickle,2C9290,99F8AE,Time
59,Alan Erdman,AB0902,78641A,Time
60,Charlie O'Kon,7582D4,51D34A,Cost
61,Randall Feest,55EA55,FD34B0,Cost
62,Bertha Muller,1D95A4,231EA4,Hops
63,Vanessa Wintheiser,FD34B0,480873,Hops
64,Bethany Bahringer,6FC77B,257E4A,Cost
65,Viola McClure,5E369E,CE33FB,Time
66,Gwendolyn Casper,D23504,217097,Hops
67,Rosemarie Johns,E9A2F6,78151E,Cost
68,Ginger Huel,9DA3D4,8205FC,Cost
69,Mamie Ledner,476983,1C520D,Time
70,Larry Parisian,7B4D7D,D3D3F3,Hops
71,Freda Hansen,673BB3,6FC77B,Time
72,Sadie Raynor,070834,9DA3D4,Hops
73,Sammy Nikolaus,6FC77B,7582D4,Hops
74,Eduardo Krajcik,19233D,231EA4,Time
75,Jeffrey Vandervort,CB9BE6,167978,Time
76,Georgia Barton,09886B,AE9247,Cost
77,Dana Von,E0B37A,0418F6,Time
78,Oliver Keebler,25E677,D0464E,Cost
79,Rickey Zboncak,CBDE01,070834,Cost
80,Claude Klocko,92B534,FBFA01,Cost
81,Delbert Ondricka,7D16FE,7B4D7D,Cost
82,Rosemarie Barrows,DA518F,25E677,Cost
83,Angie Bartoletti,D23504,DB404E,Cost
84,Meghan Wiza,AB0902,93DADF,Time
85,Andrew Zemlak,976E93,480873,Cost
86,Van Kihn,3AEFBC,AE9247,Time
87,Warren Rolfson,78641A,CB9BE6,Cost
88,Maureen Ferry,180AD5,A11A34,Hops
89,Nathaniel Hermiston,2519AB,78641A,Hops
90,Jimmie Denesik,FDEEA5,95AE76,Time
91,Cedric Bahringer,480873,476983,Hops
92,Aubrey Kuhic,E9A2F6,7582D4,Time
93,Susie Walter,7B4D7D,257E4A,Cost
94,Marjorie Wyman,5E369E,261DD1,Cost
95,Clara Lemke,D3D3F3,2E740C,Cost
96,Esther Simonis,8EA2DF,95AE76,Cost
97,Cathy Steuber,217097,2519AB,Time
98,Austin Sipes,1C520D,AB0902,Cost
99,Lucille Senger,4495F0,2932EF,Time
100,Krista Schowalter,6FC77B,1FF016,Cost
101,Lewis Blick,D3D3F3,1C520D,Time
102,Michael Gorczany,070834,9DA3D4,Time
103,Olga Corwin,9DA3D4,3AEFBC,Time
104,Dean Reynolds,A45946,D82DB0,Hops
105,Adrienne Auer,99F8AE,2519AB,Hops
106,Abel Kilback,DB404E,5580D2,Time
107,Jeannette Daniel,898C46,167978,Hops
108,Rufus Medhurst,F926D8,1FF016,Cost
109,Dave Brown,B0F915,A11A34,Time
110,Noah Crona,9DA3D4,8205FC,Hops
111,Clint Shields,1FF016,A45946,Time
112,Doreen Carroll,5580D2,72EF82,Hops
113,Marjorie Torphy,130859,443F1D,Time
114,Lynne Graham,2519AB,5DEA29,Cost
115,Cora Breitenberg,7582D4,7EFACD,Time
116,Jane Kuhic,FDEEA5,A11A34,Hops
117,Jennie Cormier,6E4320,657ECE,Hops
118,Benny Armstrong,D92C57,DA518F,Time
119,Janice Parker,611CDC,19233D,Time
120,Hazel Dickens,476983,18636A,Time
121,Vera Wisoky,72EF82,78151E,Hops
122,Hilda Ankunding,261DD1,2D84BC,Time
123,Sharon Kohler,2932EF,261DD1,Time
124,Lynn Hayes,261DD1,976E93,Hops
125,Abraham Collins,78151E,09886B,Time
126,Marian Wiza,1FF016,CE33FB,Cost
127,Darrin Bechtelar,D23504,1D95A4,Time
128,Paula McDermott,6E4320,53B7E0,Time
129,Alyssa Ebert,3293B2,480873,Hops
130,Maxine Stroman,DA518F,673BB3,Cost
131,Louis Hoppe,3C591A,78641A,Cost
132,Cindy Schmeler,B0F915,4538EE,Hops
133,Betty Hoppe,18636A,F00894,Hops
134,Salvatore Dare,074554,AE9247,Cost
135,Sabrina Green,2D84BC,3AEFBC,Cost
136,Steve Veum,611CDC,64EDE4,Hops
137,Kimberly Turner,8A570C,DB404E,Cost
138,Betsy Langworth,217097,3AC43F,Hops
139,Anthony Nader,0C45DE,F926D8,Time
140,Grant Langworth,8EA2DF,25E677,Cost
141,Peter Hills,64EDE4,167978,Time
142,Percy Jakubowski,51D34A,D51D87,Hops
143,Kristin Luettgen,657ECE,8205FC,Cost
144,Derek Hane,D6027D,93DADF,Hops
145,Everett Koepp,167978,78151E,Time
146,Greg Stoltenberg,DB404E,D0464E,Cost
147,Lester Hauck,1FF016,D92C57,Hops
148,Mable Barton,CE33FB,80979C,Cost
149,Tara Schmitt,070834,074554,Time
150,Katherine Cronin,93DADF,C21B5F,Hops
151,Jimmy Nolan,CB9BE6,231EA4,Cost
152,Casey Gleason,D82DB0,480873,Time
153,Marcia Turner,1D95A4,180AD5,Hops
154,Mildred Schamberger,CC4BC2,D82DB0,Time
155,Christina Willms,898C46,CD8A0F,Hops
156,Kenneth Torp,7EFACD,714BCA,Cost
157,Julian Grimes,353F87,CB9BE6,Time
